Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),dataset,row_number,quality_issues,Work,Work ID,IDA,Hon'ble Members of Parliament,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),Calamity Type,Calamity Name,Date of Consent,Consent Amount ( ₹ ),Work Category,Work Description,Image,Completion Date,Amount Disbursed ( ₹ ),Work category,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,WORK,Elected/Nominated,RECOMMENDED AMOUNT   ( ₹ )
21471,Kerala,,,,Works_Recommended.csv,21472,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of mini mast  light  near Vayalodam balawadi,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21472,Bihar,,,,Works_Recommended.csv,21473,MISSING_OR_BLANK,,,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Dr. Bhim Singh (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Construction of a PCC road,24-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,500000
21473,Uttar Pradesh,,,,Works_Recommended.csv,21474,MISSING_OR_BLANK,,,MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),,,,,,,,,,,,,,Repair and Renovation,NAVJEEWAN DIGRI COLLEGE MAWANA ME CLASS ROOM KE NIRMAN HETU.,25-Jun-26,,,,NA-Construction of public libraries and reading rooms,Elected MP,500000
21474,Kerala,,,,Works_Recommended.csv,21475,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of Mini Mast Light at Injippara Madrasa Padi,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21475,Uttar Pradesh,,,,Works_Recommended.csv,21476,MISSING_OR_BLANK,,,AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,"NAGAR PALIKA PARISAD GAJRALUA KE BHUD WARD 5, VINOD GUJJR KE MAKAN KE PASS SARVJANIK STHAAN ME OPEN GYM, IMPLEMENT AGENCY PCCD AMROHA",24-Jun-26,,,,NA-Installation of fixed garden gym equipment,Elected MP,842600
21476,Uttar Pradesh,,,,Works_Recommended.csv,21477,MISSING_OR_BLANK,,,AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,"NAGAR PALIKA PARISAD GAJRALUA KE BHUD WARD 10, VIRENDRA GUJJR KE GHAR KE PASS SARVJANIK STHAL ME OPEN GYM, IMPLEMENT AGENCY PCCD AMROHA",24-Jun-26,,,,NA-Installation of fixed garden gym equipment,Elected MP,842600
21477,Kerala,,,,Works_Recommended.csv,21478,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of Mini High-Mast Light near Vadakkumbadam Temple,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21478,Karnataka,,,,Works_Recommended.csv,21479,MISSING_OR_BLANK,,,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),Shri Jaggesh (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,"Construction of New School Room at Swami Shri Vivekananda Vidhyamandir (Shishu Vihara and Higher Primary School), Ward No.16, Madhugiri, Madhugiri Taluk, Tumkur District, Karnataka",24-Jun-26,,,,NA-Construction of rooms and halls in school and colleges,Elected MP,1000000
21479,Kerala,,,,Works_Recommended.csv,21480,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Repair and Renovation,"Renovation Works of the Sree Narayana Upper Primary School Building, Ward 19, Kalamassery Municipality",27-Jun-26,,,,NA-Construction of rooms and halls in school and colleges,Elected MP,1300000
21480,Kerala,,,,Works_Recommended.csv,21481,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Installation of a High Mast Light near Ernakulam Central Muslim Jama-ath Palli, Jew Street, Division 15, Cochin Corporation, Ernakulam North",27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,550000
21481,Kerala,,,,Works_Recommended.csv,21482,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Construction of the Peroorkulam Pathway, Ward 5, Koothattukulam Municipality, Ernakulam",27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,300000
21482,Kerala,,,,Works_Recommended.csv,21483,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Construction of Kurukkankunnu -Kuzhuppilli Thazham Road, Ward No. 25, Koothattukulam Municipality, Ernakulam District",27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,500000
21494,Punjab,,,,Works_Recommended.csv,21495,MISSING_OR_BLANK,,,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,Regarding for giving single walled fabrication of 5000 ltr mobile water tanker,25-Jun-26,,,,NA-Purchase of mobile water tankers,Elected MP,365800
21496,Kerala,,,,Works_Recommended.csv,21497,MISSING_OR_BLANK,,,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Dr. V. Sivadasan (2021-27) (2021-2027),,,,,,,,,,,,,,Normal/Others,Construction of First Floor Building for Athiyadam Center Vayanasala & Grandhalayam  (Reg No. 13/PNR/7595) in Cheruthazham Grama Panchayath,24-Jun-26,,,,NA-Construction of public libraries and reading rooms,Elected MP,1500000
21497,Uttarakhand,,,,Works_Recommended.csv,21498,MISSING_OR_BLANK,,,PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,"Development of playground in Shri Brigadier Vidyadhar Juyal Sanskrit School, Bhuvaneshwari Siddhapeeth, Sitonsyun, Kot, Pauri Garhwal.",24-Jun-26,,,,NA-Development of playground,Elected MP,500000
21499,Karnataka,,,,Works_Recommended.csv,21500,MISSING_OR_BLANK,,,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),Shri Narayanasa K. Bhandage (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Construction of Road from Suresh Patil's Farm to Hampayyaswami Ravihala's Farm at sultanpur road in Araginamara Camp village.,01-Jul-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,1000000
21504,Punjab,,,,Works_Recommended.csv,21505,MISSING_OR_BLANK,,,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,Regarding for giving single walled fabrication of 5000 ltr mobile water tanker,25-Jun-26,,,,NA-Purchase of mobile water tankers,Elected MP,365800
21506,Sikkim,,,,Works_Recommended.csv,21507,MISSING_OR_BLANK,,,"Namchi(IMPLEMENTING DISTRICT AGENCY, NAMCHI)",Shri Dorjee Tshering Lepcha (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Lightining Of Public Spaces Near Tek Gumpa,15-Jul-26,,,,NA-Lighting of public spaces,Elected MP,1000000
21509,Tripura,,,,Works_Recommended.csv,21510,MISSING_OR_BLANK,,,Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA),Shri Rajib Bhattacharjee (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,"Construction of a waiting shed with a firewood storage room at Chandipur Cremation Center (Ward No 01) under Chandipur G.P. of Chandipur R.D Block, Unakoti District.",25-Jun-26,,,,NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Elected MP,1074000
21513,Tripura,,,,Works_Recommended.csv,21514,MISSING_OR_BLANK,,,West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA),Shri Rajib Bhattacharjee (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,"Construction of Dining Hall cum Kitchen at Ramthakur Girls High School, Ward No 31, Agartala, Tripura West",25-Jun-26,,,,NA-Setting up of kitchen and pantries,Elected MP,1500000
21516,Tripura,,,,Works_Recommended.csv,21517,MISSING_OR_BLANK,,,West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA),Shri Rajib Bhattacharjee (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,"Construction of RCC Double storied Art Gallery cum Library Building at the premises of Ram Krishna Mission, Viveknagar, Amtali, Ward No. 50, AMC, West Tripura",25-Jun-26,,,,NA-Construction of rooms and halls in school and colleges,Elected MP,5000000
21517,Tripura,,,,Works_Recommended.csv,21518,MISSING_OR_BLANK,,,North Tripura(DISTRICT MAGISTRATE and COLLECTOR NORTH TRIPURA DISTRICT_IDA),Shri Rajib Bhattacharjee (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,"Construction of RCC/Paver Block approach road & pucca drain leading to car wash centre near Iron Bridge of Sonarerbasa, Bhagyapur G.P under Kalachara Block, North Tripura",25-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,800000
21518,Tripura,,,,Works_Recommended.csv,21519,MISSING_OR_BLANK,,,West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA),Shri Rajib Bhattacharjee (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,"Construction of RCC Drain in the west lane of Gedumia Masjid, starting from the house of Shri Dilip Debnath to the house of Shri Jahar Saha in Deshbandhu Chittaranjan Club area, Ward No. 21, AMC",25-Jun-26,,,,NA-Providing drains and gutters for public drainage,Elected MP,3500000
21519,Tripura,,,,Works_Recommended.csv,21520,MISSING_OR_BLANK,,,West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA),Shri Rajib Bhattacharjee (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,"Establishment of  Modern GYM with equipments in the premises of Modern Cricket Academy, Shibnagar College Road, Ward No. 24, AMC",25-Jun-26,,,,NA-Installation of multi-gym equipment,Elected MP,1500000
21520,Tripura,,,,Works_Recommended.csv,21521,MISSING_OR_BLANK,,,Dhalai(DISTRICT MAGISTRATE DHALAI_IDA),Shri Rajib Bhattacharjee (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,Construction of community centre at 82 Mile Bazar under Dhalai District.,25-Jun-26,,,,NA-Construction of community centers and community halls,Elected MP,1500000
21521,Rajasthan,,,,Works_Recommended.csv,21522,MISSING_OR_BLANK,,,Deeg(DISTRICT COLLECTOR Deeg_IDA),Shri Randeep Singh Surjewala (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,Construction work of CC Interlocking Tiles Road Cum Drainage at Different Streets Of Village Narena Katatta,25-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,500000
21523,Rajasthan,,,,Works_Recommended.csv,21524,MISSING_OR_BLANK,,,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),Shri Randeep Singh Surjewala (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,Construction Of CC Road From Reham House To Kishni Ke Nohre Onwards To Different Streets At Raisees Village,25-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,1000000
21525,Kerala,,,,Works_Recommended.csv,21526,MISSING_OR_BLANK,,,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Construction of Bus Waiting Shed at Kunnummal,Edavanna Panchayat  ward 11 ,Areacode Block Panchayat",27-Jun-26,,,,NA-Construction of common work sheds/ common covered sitting area,Elected MP,500000
21526,Kerala,,,,Works_Recommended.csv,21527,MISSING_OR_BLANK,,,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Construction of Road at Veluthedath Cholayil, Kuzhimanna Panchayat  Ward 12  ,Areacode Block Panchayat",27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,500000
21527,Madhya Pradesh,,,,Works_Recommended.csv,21528,MISSING_OR_BLANK,,,PANNA(DISTRICT COLLECTOR PANNA_IDA),Smt. Sumitra Balmik (2022-28) (2022-2028),,,,,,,,,,,,,,Normal/Others,Construction of community Hall in ward no.8 Dham Mohalla near Hinglaj Temple,25-Jun-26,,,,NA-Construction of community centers and community halls,Elected MP,2000000
21528,Kerala,,,,Works_Recommended.csv,21529,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Setting Up of Community Open Gym Near the Anganwadi Centre,27-Jun-26,,,,NA-Installation of fixed garden gym equipment,Elected MP,500000
21530,Kerala,,,,Works_Recommended.csv,21531,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Tile laying work on the Chalakkayathumugal - Chayikkara Road,27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,600000
21531,Kerala,,,,Works_Recommended.csv,21532,MISSING_OR_BLANK,,,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of a mini mast light at the junction behind the Mini Town Hall,27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,200000
21532,Kerala,,,,Works_Recommended.csv,21533,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Construction of concrete slabs over the drainage to widen the road from Pulloli Junction to Pulloli  Colony,27-Jun-26,,,,NA-Construction of rainwater harvesting structures,Elected MP,500000
21533,Kerala,,,,Works_Recommended.csv,21534,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Drain Construction from Mukkuttmannil padi to the Petrol Pump,Chittar panchayat,Ward 3",27-Jun-26,,,,NA-Construction of rainwater harvesting structures,Elected MP,200000
21534,Kerala,,,,Works_Recommended.csv,21535,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Road concreting of Manakkayam Pampini Road,Chittar panchayat, Ward 3",27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,150000
21535,Kerala,,,,Works_Recommended.csv,21536,MISSING_OR_BLANK,,,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Purchase of Electronic Equipment for Setting up Classrooms as Smart Classrooms at KVKM MUP School, Devarkovil.",27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,500000
21536,Kerala,,,,Works_Recommended.csv,21537,MISSING_OR_BLANK,,,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Construction of Concrete Road on O.P.K. Kottayikuni - Orat Kuniyil Road,27-Jun-26,,,,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Elected MP,700000
21537,Kerala,,,,Works_Recommended.csv,21538,MISSING_OR_BLANK,,,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Installation of Mini Mast Light near Parathodu Muhiyidheen Juma Masjid Madrasa, Pathumala",27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21538,Kerala,,,,Works_Recommended.csv,21539,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Installation of a mini mast light at Madrasa Pallimuruppel Road near madrasa,Chuttipara East",27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21539,Kerala,,,,Works_Recommended.csv,21540,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Installation of a mini mast light at Chanjaplakkal Junction,Chuttipara East",27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21540,Kerala,,,,Works_Recommended.csv,21541,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of a mini mast light at Chuttipara Kizhakkechariv.,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21541,Kerala,,,,Works_Recommended.csv,21542,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Installation of Mini Mast Light at CSI Church Junction, Vrikkad",27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21542,Kerala,,,,Works_Recommended.csv,21543,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Installation of Mini Mast Light at Islamic center, Varikkad ,Nearest Muslim palli payipad",27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21543,Kerala,,,,Works_Recommended.csv,21544,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of  Mini High Mast Light at Near Kadakkad Juma Masjid.,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21544,Kerala,,,,Works_Recommended.csv,21545,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of  Mini High Mast Light at Kadakkad Junction,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21545,Kerala,,,,Works_Recommended.csv,21546,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of Mini Mast Light at Vaipur Muslimpazhya Pallippadi Junction,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21546,Kerala,,,,Works_Recommended.csv,21547,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of Mini Mast Light at Alaprakkad Junction,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21547,Kerala,,,,Works_Recommended.csv,21548,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of Mini Mast Light at Kulayamkuzhi Masjid Junction,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21548,Kerala,,,,Works_Recommended.csv,21549,MISSING_OR_BLANK,,,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Shri Haris Beeran (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation of a mini mast light at the junction behind the Mini Town Hall.,27-Jun-26,,,,NA-Lighting of public spaces,Elected MP,200000
21549,Andhra Pradesh,,,,Works_Recommended.csv,21550,MISSING_OR_BLANK,,,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Shri Ryaga Krishnaiah (2024-28) (2024-2028),,,,,,,,,,,,,,Normal/Others,"Construction of Community Hall at Pedapalle Village, Nagaram Mandal, Bapatla Dist.",25-Jun-26,,,,NA-Construction of community centers and community halls,Elected MP,2700000
21550,Karnataka,,,,Works_Recommended.csv,21551,MISSING_OR_BLANK,,,Vijayanagara(DEPUTY COMMISSIONER VIJAYANAGARA_IDA),Smt. Sudha Murty (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"This project focuses on the 270m stretch of the North Bazar at Virupaksha Temple. The stone mantapas suffer from severe weathering and structural decay. The scope includes structural inventory, propping columns, architectural stabilization, and debris removal to adaptively reuse the spaces for community use. Under MPLADS, I recommend an allocation of Rs. 4.40 Crores for FY 2026-2027. The Archaeological Survey of India (ASI) will act as the implementing agency.",26-Jun-26,,,,"NA-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings",Nominated MP,44000000
21552,Uttar Pradesh,,,,Works_Recommended.csv,21553,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"install high mast light work at chhipitola , dr abhinav jain 29/184 near water tank",26-Jun-26,,,,NA-Street lights,Elected MP,249000
21553,Uttar Pradesh,,,,Works_Recommended.csv,21554,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"install high mast light work at naraich , near house of jd sharma , gulab nagar",26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21554,Uttar Pradesh,,,,Works_Recommended.csv,21555,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"install high mast light work at naraich , near CR Complex , gulab nagar tiraha",26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21555,Uttar Pradesh,,,,Works_Recommended.csv,21556,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,install high mast light work at auliya road tiraha chhipitola,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21556,Uttar Pradesh,,,,Works_Recommended.csv,21557,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"install high mast light work at near agrwan , balkeshwar road agra",26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21557,Uttar Pradesh,,,,Works_Recommended.csv,21558,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"install high mast light work at tiraha near house of rani thakur , amar lok colony , taj mahal road",26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21558,Uttar Pradesh,,,,Works_Recommended.csv,21559,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Work of high mask light at the intersection in village Chhah Pokhar of Vikaskhand Achhnera.,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21559,Uttar Pradesh,,,,Works_Recommended.csv,21560,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Work of high mask light near the railway line of village Nagla of village Chhah Pokhar of Vidhan Sabha Achhnera.,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21560,Uttar Pradesh,,,,Works_Recommended.csv,21561,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Installation work of sump pump with tank in Jatav Basti of No. Dalshay of Gram Panchayat Basaiya Raimal of Block Akola.,26-Jun-26,,,,NA-Installing tube-wells and borewells,Elected MP,265000
21561,Uttar Pradesh,,,,Works_Recommended.csv,21562,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Work of high mask light in Jatav Basti in Majra Basaiya of Gram Panchayat Basaiya Raimal of Vikaskhand Akola.,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21562,Uttar Pradesh,,,,Works_Recommended.csv,21563,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Work of high mask light near Khadua well in No. Dalshay of Gram Panchayat Basaiya Raimal of Block Akola.,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21563,Uttar Pradesh,,,,Works_Recommended.csv,21564,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,"Work of high mask light near Lalsingh's house in Basaiya Jatav Basti, Majra Basaiya Raimal, Vikaskhand, Akola.",26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21564,Uttar Pradesh,,,,Works_Recommended.csv,21565,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Work of high mask light at Majra Nagla Beech intersection of Gram Panchayat Basaiya Raimal of Vikaskhand Akola.,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21565,Uttar Pradesh,,,,Works_Recommended.csv,21566,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Work of high mask light at Chandraveer's mode in Nagla Gayra of Block Akola.,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
21566,Uttar Pradesh,,,,Works_Recommended.csv,21567,MISSING_OR_BLANK,,,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Naveen Jain (2024-30) (2024-2030),,,,,,,,,,,,,,Normal/Others,Work of high mask light near Tans Farm on Shamshan Ghat Road in village Gaharra Kala.,26-Jun-26,,,,NA-Lighting of public spaces,Elected MP,249000
